0,0,0,0
0,0,0,0
5.78763e-06,5.78763e-06,5.78763e-06,5.78763e-06
2.56551e-05,2.56551e-05,2.56551e-05,2.56551e-05
6.71629e-05,6.71629e-05,6.71628e-05,6.71627e-05
0.000136893,0.000136893,0.000136893,0.000136892
0.00024023,0.000240229,0.000240228,0.000240227
0.00038117,0.000381168,0.000381166,0.000381164
0.000562169,0.000562164,0.00056216,0.000562156
0.000784022,0.000784015,0.000784007,0.000784
0.00104579,0.00104578,0.00104577,0.00104576
0.00134478,0.00134476,0.00134474,0.00134473
0.0016765,0.00167648,0.00167646,0.00167644
0.00203478,0.00203476,0.00203474,0.00203472
0.00241182,0.0024118,0.00241178,0.00241176
0.00279831,0.00279829,0.00279828,0.00279827
0.00318362,0.00318363,0.00318363,0.00318364
0.00355601,0.00355605,0.00355609,0.00355614
0.00390283,0.00390293,0.00390303,0.00390313
0.0042108,0.00421099,0.00421117,0.00421136
0.00446629,0.0044666,0.00446691,0.00446723
0.00465562,0.0046561,0.00465658,0.00465706
0.00476533,0.00476604,0.00476675,0.00476746
0.00478257,0.00478357,0.00478457,0.00478557
0.00469534,0.0046967,0.00469806,0.00469942
0.00449283,0.00449463,0.00449643,0.00449824
0.00416571,0.00416805,0.00417038,0.00417272
0.00370642,0.00370939,0.00371235,0.00371531
0.00310942,0.0031131,0.00311678,0.00312047
0.0023714,0.00237589,0.00238038,0.00238488
0.00149148,0.00149687,0.00150226,0.00150766
0.000471394,0.000477763,0.000484133,0.000490505
-0.000684423,-0.000677015,-0.000669609,-0.000662198
-0.00196875,-0.00196027,-0.00195179,-0.0019433
-0.00337157,-0.003362,-0.00335243,-0.00334285
-0.00488005,-0.00486942,-0.00485879,-0.00484814
-0.00647868,-0.00646705,-0.00645541,-0.00644376
-0.00814931,-0.00813679,-0.00812428,-0.00811174
-0.00987139,-0.00985816,-0.00984492,-0.00983166
-0.0116221,-0.0116084,-0.0115947,-0.0115809
-0.0133768,-0.0133629,-0.013349,-0.0133351
-0.0151091,-0.0150953,-0.0150816,-0.0150678
-0.0167911,-0.016778,-0.0167649,-0.0167517
-0.0183944,-0.0183824,-0.0183704,-0.0183584
-0.0198896,-0.0198794,-0.0198692,-0.0198589
-0.0212476,-0.0212398,-0.0212319,-0.021224
-0.0224393,-0.0224346,-0.0224299,-0.0224251
-0.0234365,-0.0234358,-0.023435,-0.0234342
